Country,Country2,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Continent
Ireland,Ireland,0.41,0.41,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.42,0.43,0.43,0.43,0.45,0.44,0.42,0.43,0.45,0.45,0.46,0.46,0.45,0.46,0.47,0.47,0.48,0.48,0.45,0.47,0.44,0.44,0.44,0.45,0.46,0.48,0.48,0.47,0.47,0.48,0.47,0.47,Europe
Israel,Israel,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.62,0.62,0.62,0.62,0.62,0.62,0.59,0.63,0.62,0.62,0.61,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,Asia
Italy,Italy,0.41,0.4,0.41,0.41,0.41,0.42,0.43,0.44,0.45,0.45,0.46,0.46,0.46,0.47,0.47,0.48,0.49,0.49,0.5,0.5,0.51,0.51,0.5,0.5,0.5,0.49,0.5,0.5,0.48,0.52,0.49,0.5,0.5,0.51,0.5,0.5,0.51,0.51,0.52,0.51,0.51,0.51,Europe
Jamaica,Jamaica,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,North America
Japan,Japan,0.48,0.47,0.47,0.47,0.47,0.48,0.49,0.5,0.51,0.52,0.52,0.51,0.47,0.48,0.48,0.49,0.5,0.5,0.5,0.51,0.52,0.53,0.54,0.54,0.55,0.55,0.55,0.56,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,Asia
Jordan,Jordan,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.61,0.62,0.62,0.63,0.62,0.61,0.59,0.58,0.56,0.57,0.58,0.58,0.59,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.59,0.61,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,Asia
Kazakhstan,Kazakhstan,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.51,0.54,0.54,0.55,0.56,0.56,0.56,0.57,0.56,0.51,0.54,0.54,0.52,0.53,0.53,0.54,0.51,0.52,0.52,0.5,0.48,0.53,0.53,0.53,0.53,0.53,0.53,Asia
Kenya,Kenya,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.68,0.62,0.63,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.6,0.63,0.62,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,Africa
"Korea, Republic of",Korea,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.46,0.46,0.46,0.47,0.44,0.45,0.44,0.46,0.46,0.46,0.46,0.46,0.46,0.44,Asia
Kosovo,Kosovo,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.49,0.49,0.48,0.48,0.5,0.48,0.5,0.48,0.48,0.47,0.48,0.47,0.47,0.48,0.48,0.48,0.48,0.48,Asia
Kuwait,Kuwait,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,Asia
Kyrgyzstan,Kyrgyzstan,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.51,0.49,0.5,0.5,0.49,0.55,0.54,0.57,0.53,0.52,0.51,0.51,0.49,0.49,0.49,0.47,0.5,0.49,0.5,0.51,0.54,0.54,0.54,Asia
Lao People's Democratic Republic,Lao People's Democratic Republic,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.6,0.58,0.58,0.58,0.58,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,Asia
Latvia,Latvia,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.36,0.37,0.4,0.43,0.45,0.46,0.48,0.49,0.5,0.5,0.5,0.49,0.51,0.51,0.51,0.53,0.5,0.53,0.52,0.49,0.48,0.49,0.5,0.5,0.49,0.49,0.48,0.5,0.49,0.49,0.47,0.47,Europe
Lebanon,Lebanon,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.65,0.65,0.65,0.65,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,Asia
Lesotho,Lesotho,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.62,0.64,0.64,0.64,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,Africa
Liberia,Liberia,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.54,0.55,0.55,0.55,0.55,0.55,0.55,Africa
Libya,Libya,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.54,0.54,0.55,0.55,0.54,0.54,0.54,0.54,0.54,Africa
Lithuania,Lithuania,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.48,0.47,0.45,0.45,0.44,0.46,0.47,0.46,0.46,0.49,0.49,0.47,0.49,0.5,0.5,0.47,0.47,0.49,0.5,0.53,0.5,0.5,0.51,0.5,0.63,0.63,0.63,Europe
Luxembourg,Luxembourg,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.48,0.5,0.5,0.5,0.5,0.48,0.48,0.52,0.52,0.49,0.52,0.51,0.48,0.47,0.47,0.5,0.48,0.48,0.45,0.47,0.49,0.48,0.46,0.48,0.48,Europe
Macao,Macao,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.45,0.46,0.48,0.48,0.48,0.47,0.47,0.47,0.48,0.5,0.51,0.53,0.54,0.55,0.56,0.56,0.56,0.56,0.56,0.57,0.56,0.55,0.56,0.55,0.56,0.56,0.56,0.56,0.56,0.43,0.43,Asia
Madagascar,Madagascar,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.66,0.66,0.64,0.62,0.6,0.58,0.58,0.57,0.61,0.65,0.64,0.63,0.62,0.61,0.61,0.61,0.62,0.61,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,Africa
Malawi,Malawi,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.62,0.63,0.64,0.61,0.65,0.65,0.66,0.66,0.66,0.67,0.67,0.64,0.61,0.59,0.59,0.59,Africa
Malaysia,Malaysia,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.57,0.58,0.58,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.57,0.52,0.56,0.55,0.55,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,Asia
Maldives,Maldives,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.64,0.63,0.62,0.61,0.59,0.51,0.57,0.56,0.55,0.54,0.53,0.51,0.51,0.51,0.51,0.51,0.51,0.51,Asia
Mali,Mali,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.66,0.64,0.63,0.62,0.6,0.59,0.59,0.58,0.58,0.58,0.58,0.56,0.55,0.56,0.53,0.54,0.54,0.54,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56,Africa
Malta,Malta,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.43,0.45,0.43,0.44,0.45,0.45,0.46,0.47,0.45,0.46,0.45,0.47,0.47,0.47,Europe
Mauritania,Mauritania,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.62,0.64,0.65,0.67,0.69,0.7,0.63,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.59,0.6,0.6,0.59,0.57,0.56,0.54,0.52,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,Africa
Mauritius,Mauritius,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.57,0.57,0.57,0.58,0.59,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.57,0.57,0.57,Africa
Mexico,Mexico,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.71,0.72,0.72,0.72,0.74,0.75,0.75,0.74,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.75,0.75,0.75,0.75,North America
Moldova,Moldova,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.38,0.4,0.43,0.45,0.48,0.49,0.5,0.51,0.52,0.51,0.51,0.5,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.48,0.51,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.49,0.49,0.49,Europe
Mongolia,Mongolia,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.54,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.58,0.58,0.57,0.56,0.57,0.57,0.58,0.57,0.57,0.56,0.56,0.56,0.56,0.55,0.55,0.55,Asia
Montenegro,Montenegro,0.4,0.4,0.4,0.4,0.42,0.41,0.42,0.42,0.45,0.41,0.4,0.41,0.41,0.42,0.43,0.43,0.43,0.44,0.43,0.42,0.48,0.44,0.45,0.46,0.46,0.47,0.48,0.48,0.49,0.51,0.5,0.51,0.51,0.51,0.5,0.53,0.51,0.5,0.51,0.51,0.51,0.51,Europe
Morocco,Morocco,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,Africa
Mozambique,Mozambique,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.69,0.68,0.68,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.72,0.68,0.69,0.7,0.71,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,Africa
Myanmar,Myanmar,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.54,0.62,0.62,0.62,0.62,0.62,0.62,0.58,0.55,0.54,0.54,0.54,0.54,Asia
Namibia,Namibia,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.77,0.77,0.74,0.76,0.76,0.75,0.75,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,Africa
Nepal,Nepal,0.44,0.44,0.44,0.44,0.44,0.45,0.47,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.53,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,Asia
Netherlands,Netherlands,0.37,0.37,0.37,0.38,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.39,0.39,0.4,0.4,0.41,0.41,0.42,0.4,0.41,0.41,0.41,0.41,0.4,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.41,Europe
New Zealand,New Zealand,0.47,0.47,0.48,0.49,0.48,0.47,0.46,0.46,0.46,0.48,0.5,0.49,0.51,0.51,0.51,0.51,0.5,0.51,0.52,0.48,0.45,0.46,0.46,0.47,0.47,0.45,0.39,0.41,0.38,0.46,0.43,0.45,0.47,0.45,0.45,0.46,0.45,0.46,0.46,0.46,0.46,0.46,Oceania
Nicaragua,Nicaragua,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,North America
Niger,Niger,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.59,0.61,0.61,0.62,0.62,0.62,0.63,0.63,0.63,0.64,0.64,0.64,0.65,0.62,0.59,0.58,0.59,0.55,0.53,0.54,0.54,0.55,0.56,0.57,0.58,0.59,0.59,0.59,0.59,Africa
Nigeria,Nigeria,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.57,0.57,0.56,0.56,0.55,0.55,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,Africa
Korea (Democratic People's Republic of),Korea (Democratic People's Republic of),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.54,0.54,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.58,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.5,Asia
North Macedonia,North Macedonia,0.38,0.38,0.38,0.38,0.4,0.39,0.39,0.4,0.42,0.39,0.38,0.4,0.42,0.44,0.45,0.47,0.52,0.49,0.48,0.47,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.49,0.44,0.49,0.49,0.48,0.47,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,Europe
Norway,Norway,0.38,0.37,0.37,0.36,0.36,0.36,0.33,0.33,0.32,0.32,0.33,0.32,0.33,0.35,0.37,0.37,0.38,0.4,0.37,0.38,0.41,0.39,0.39,0.4,0.41,0.42,0.42,0.42,0.42,0.41,0.41,0.42,0.42,0.42,0.41,0.4,0.4,0.4,0.41,0.4,0.39,0.39,Europe
Oman,Oman,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,Asia
Pakistan,Pakistan,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.54,0.56,0.55,0.55,0.54,0.55,0.56,0.56,0.57,0.56,0.55,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.53,0.53,0.53,0.53,0.53,Asia
"Palestine, State of","Palestine, State of",0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.64,0.64,0.66,0.65,0.61,0.64,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,Asia
Panama,Panama,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,North America
Papua New Guinea,Papua New Guinea,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,Oceania
Paraguay,Paraguay,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.68,0.68,0.67,0.67,0.68,0.67,0.65,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.66,0.66,South America
Peru,Peru,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.75,0.74,0.76,0.72,0.71,0.71,0.72,0.7,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.71,0.69,0.66,0.73,0.73,South America
Philippines,Philippines,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.61,0.62,0.63,0.62,0.62,0.62,0.63,0.64,0.65,0.64,0.63,0.63,0.63,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.57,0.61,0.6,0.6,0.6,0.59,0.59,0.58,0.58,0.57,0.57,0.57,0.57,Asia
Poland,Poland,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.32,0.32,0.33,0.35,0.36,0.37,0.37,0.4,0.42,0.42,0.41,0.43,0.42,0.44,0.44,0.45,0.46,0.47,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.49,0.49,Europe
Portugal,Portugal,0.41,0.4,0.43,0.43,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.47,0.48,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.51,0.5,0.5,0.51,0.51,0.51,0.51,0.5,0.48,0.49,0.5,0.48,0.49,0.49,0.49,0.49,0.49,0.48,0.47,0.46,0.47,Europe
Qatar,Qatar,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,Asia
Romania,Romania,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.37,0.38,0.4,0.42,0.48,0.47,0.48,0.49,0.48,0.47,0.47,0.49,0.52,0.52,0.53,0.53,0.57,0.56,0.54,0.52,0.53,0.54,0.53,0.55,0.54,0.51,0.52,0.54,0.54,0.54,0.54,Europe
Russian Federation,Russia,0.31,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.34,0.33,0.34,0.44,0.46,0.54,0.56,0.63,0.59,0.56,0.58,0.6,0.61,0.59,0.6,0.59,0.58,0.6,0.6,0.61,0.55,0.55,0.56,0.55,0.56,0.54,0.54,0.54,0.54,0.55,0.55,0.58,0.58,Europe
Rwanda,Rwanda,0.51,0.51,0.51,0.51,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.69,0.7,0.7,0.71,0.7,0.69,0.69,0.64,0.67,0.67,0.66,0.66,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,Africa
Sao Tome and Principe,Sao Tome and Principe,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,Africa
Saudi Arabia,Saudi Arabia,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.67,0.67,0.65,0.66,0.66,0.66,0.65,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.65,Asia
Senegal,Senegal,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.68,0.65,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.6,0.59,0.58,0.58,0.58,0.59,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58,Africa
Serbia,Serbia,0.42,0.42,0.42,0.42,0.44,0.43,0.43,0.44,0.44,0.43,0.43,0.44,0.44,0.44,0.45,0.45,0.45,0.46,0.46,0.45,0.51,0.48,0.49,0.5,0.51,0.52,0.54,0.55,0.54,0.5,0.53,0.53,0.55,0.56,0.57,0.56,0.57,0.52,0.5,0.51,0.52,0.51,Europe
Seychelles,Seychelles,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,Africa
Sierra Leone,Sierra Leone,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.58,0.57,0.56,0.57,0.55,0.54,0.55,0.55,0.55,0.56,0.56,0.57,0.57,0.57,0.57,0.57,Africa
Singapore,Singapore,0.45,0.45,0.46,0.45,0.45,0.47,0.46,0.48,0.47,0.47,0.47,0.46,0.45,0.45,0.44,0.44,0.46,0.46,0.48,0.51,0.52,0.55,0.55,0.53,0.52,0.51,0.52,0.51,0.55,0.55,0.52,0.54,0.53,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.43,0.43,Asia
Slovakia,Slovakia,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.36,0.33,0.35,0.35,0.36,0.36,0.37,0.38,0.38,0.39,0.4,0.4,0.4,0.42,0.42,0.42,0.41,0.41,0.39,0.42,0.41,0.4,0.42,0.4,0.41,0.39,0.38,0.39,0.38,0.38,0.38,Europe
Slovenia,Slovenia,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.39,0.37,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,Europe
Somalia,Somalia,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,Africa
South Africa,South Africa,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.61,0.6,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.66,0.67,0.67,0.68,0.69,0.71,0.7,0.75,0.71,0.72,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,Africa
South Sudan,South Sudan,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,Africa
Spain,Spain,0.46,0.46,0.46,0.46,0.46,0.47,0.48,0.48,0.48,0.49,0.48,0.48,0.47,0.46,0.47,0.47,0.47,0.46,0.46,0.47,0.46,0.46,0.46,0.46,0.46,0.45,0.46,0.46,0.46,0.45,0.46,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.44,Europe
Sri Lanka,Sri Lanka,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.57,0.58,0.59,0.59,0.6,0.61,0.61,0.61,0.61,0.61,0.61,0.6,0.58,0.59,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,Asia
Sudan,Sudan,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,Africa
